# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.065179780    0.093572540    0.093572452
    0.120240481    0.130721102    0.187644820    0.187644643
    0.180360721    0.196990718    0.282723558    0.282723292
    0.240480962    0.264365946    0.379329613    0.379329256
    0.300601202    0.333240315    0.478005533    0.478005083
    0.360721443    0.404029670    0.579323695    0.579323150
    0.420841683    0.477178917    0.683895286    0.683894644
    0.480961924    0.553169620    0.792380388    0.792379644
    0.541082164    0.632528713    0.905499510    0.905498662
    0.601202405    0.715838633    1.024046975    1.024046017
    0.661322645    0.803749262    1.148906635    1.148905562
    0.721442886    0.896992172    1.281070568    1.281069374
    0.781563126    0.996397778    1.421661528    1.421660206
    0.841683367    1.102916208    1.571960172    1.571958714
    0.901803607    1.217642915    1.733438380    1.733436777
    0.961923848    1.341850398    1.907800387    1.907798627
    1.022044088    1.477027821    2.097034008    2.097032081
    1.082164329    1.624930947    2.303475000    2.303472891
    1.142284569    1.787645651    2.529888662    2.529886356
    1.202404810    1.967669459    2.779574284    2.779571761
    1.262525050    2.168017324    3.056500182    3.056497421
    1.322645291    2.392360271    3.365480164    3.365477141
    1.382765531    2.645209278    3.712406775    3.712403462
    1.442885772    2.932162158    4.104563446    4.104559808
    1.503006012    3.260239527    4.551047890    4.551043888
    1.563126253    3.638348810    5.063354906    5.063350492
    1.623246493    4.077935465    5.656191657    5.656186775
    1.683366733    4.593913439    6.348638724    6.348633305
    1.743486974    5.206021114    7.165836675    7.165830639
    1.803607214    5.940841462    8.141491020    8.141484267
    1.863727455    6.834887449    9.321686679    9.321679084
    1.923847695    7.939448767   10.770863392   10.770854804
    1.983967936    9.328453592   12.581484023   12.581474251
    2.044088176   11.111700418   14.890271974   14.890260778
    2.104208417   13.458102265   17.906687055   17.906674135
    2.164328657   16.638613110   21.965454869   21.965439851
    2.224448898   21.110277358   27.629375092   27.629357529
    2.284569138   27.692265543   35.904724884   35.904704297
    2.344689379   37.962049366   48.726634629   48.726610698
    2.404809619   55.192633920   70.110265657   70.110238848
    2.464929860   86.313547881  108.577549815  108.577522836
    2.525050100  141.538208539  176.728868171  176.728843080
    2.585170341  216.965651827  266.589636350  266.589569603
    2.645290581  308.086415564  364.297277576  364.297034669
    2.705410822  353.762719413  422.712318175  422.711836816
    2.765531062  276.091205322  357.625575165  357.624969230
    2.825651303  178.798796366  268.282184113  268.281641732
    2.885771543  124.665801167  217.110648734  217.110231222
    2.945891784   99.926935069  190.629110875  190.628827937
    3.006012024   82.455994636  177.375870781  177.375712594
    3.066132265   66.403567182  164.239154095  164.239111250
    3.126252505   56.749339734  146.731189319  146.731213570
    3.186372745   58.902224762  137.909335808  137.909386236
    3.246492986   65.008319897  134.202199750  134.202170107
    3.306613226   66.038764371  125.460958005  125.460818397
    3.366733467   64.601617756  111.094137850  111.093990503
    3.426853707   55.657799350   98.568923086   98.568828425
    3.486973948   46.053653588   94.504777433   94.504728038
    3.547094188   36.925118555   87.379385634   87.379288939
    3.607214429   29.821208516   78.274870117   78.274655583
    3.667334669   29.211263760   71.671244239   71.670976053
    3.727454910   32.395319405   63.814997536   63.814824591
    3.787575150   33.220249560   55.475150224   55.475026717
    3.847695391   32.910564773   51.486628285   51.486477731
    3.907815631   33.503700981   48.766848772   48.766681687
    3.967935872   28.912485914   45.885071561   45.884962052
    4.028056112   24.180166804   43.080652009   43.080594084
    4.088176353   23.654615915   45.719411514   45.719381508
    4.148296593   23.676662504   44.881932223   44.881919816
    4.208416834   25.387337104   43.750845777   43.750854711
    4.268537074   30.155922290   46.614591501   46.614639032
    4.328657315   36.769598211   48.755277107   48.755381625
    4.388777555   45.487326600   55.812589312   55.812688978
    4.448897796   59.117814259   68.244264652   68.244326344
    4.509018036   73.415797703   81.780046712   81.780137174
    4.569138277   63.180799507   75.037970707   75.038198315
    4.629258517   38.570970920   52.156179225   52.156493223
    4.689378758   23.322541936   34.699158603   34.699367570
    4.749498998   15.739476703   26.351330854   26.351436372
    4.809619238   11.967530987   22.050730663   22.050774726
    4.869739479    9.900214368   18.634712681   18.634706529
    4.929859719    8.616468030   17.705585840   17.705524220
    4.989979960    8.082127856   18.280608090   18.280474158
    5.050100200    7.859072451   17.768712444   17.768500960
    5.110220441    7.388222573   16.476110898   16.475908204
    5.170340681    6.049601421   15.308669319   15.308511359
    5.230460922    5.153938475   14.421192176   14.421033525
    5.290581162    4.797222112   15.721232494   15.720996802
    5.350701403    4.271573460   16.177011939   16.176628879
    5.410821643    3.682595527   13.378269384   13.377879482
    5.470941884    3.172092743    9.367275765    9.367030655
    5.531062124    2.957366609    6.601461024    6.601320263
    5.591182365    3.005098669    5.072830842    5.072741847
    5.651302605    3.318946314    4.253758434    4.253693965
    5.711422846    3.665897101    3.905838571    3.905783182
    5.771543086    3.169562015    3.890220105    3.890162885
    5.831663327    2.563192642    3.700638728    3.700577620
    5.891783567    2.308477106    3.259790613    3.259725034
    5.951903808    2.134281365    2.858674816    2.858614410
    6.012024048    1.962907859    2.504631402    2.504591646
    6.072144289    1.986830900    2.355782506    2.355757741
    6.132264529    2.226553513    2.393589913    2.393573883
    6.192384770    2.430482064    2.293814347    2.293804084
    6.252505010    2.641389147    1.982697472    1.982692133
    6.312625251    3.153279111    1.756415207    1.756416102
    6.372745491    3.371124420    1.659695083    1.659706544
    6.432865731    3.344215465    1.662436091    1.662462765
    6.492985972    3.413389672    1.666294768    1.666321774
    6.553106212    3.454392104    1.693134039    1.693145224
    6.613226453    3.384771339    1.766839307    1.766838902
    6.673346693    3.230460182    1.582015986    1.582010144
    6.733466934    3.061680953    1.321594733    1.321585632
    6.793587174    2.934708791    1.178240916    1.178227712
    6.853707415    2.955022524    1.129386510    1.129366666
    6.913827655    3.159964620    1.153236372    1.153204334
    6.973947896    3.315062533    1.228862345    1.228806410
    7.034068136    3.137486210    1.290536969    1.290444573
    7.094188377    2.577759849    1.211046320    1.210951761
    7.154308617    2.181545155    1.028180734    1.028122542
    7.214428858    2.029444524    0.916849043    0.916815943
    7.274549098    1.731742722    0.864647216    0.864626864
    7.334669339    1.609581654    0.866817736    0.866804416
    7.394789579    1.722490790    0.951726511    0.951718099
    7.454909820    1.704762725    1.089077951    1.089073870
    7.515030060    1.705583562    1.031440509    1.031437881
    7.575150301    1.919489430    0.839623439    0.839618436
    7.635270541    1.911008355    0.712094219    0.712086637
    7.695390782    1.500468755    0.648123081    0.648112815
    7.755511022    1.225983219    0.623529705    0.623515465
    7.815631263    1.221808868    0.629027950    0.629006491
    7.875751503    1.353146225    0.669725284    0.669689667
    7.935871743    1.334059002    0.757578527    0.757521365
    7.995991984    1.227556571    0.769949327    0.769889664
    8.056112224    1.162934534    0.658320623    0.658279195
    8.116232465    1.302960235    0.578159140    0.578127782
    8.176352705    1.465690005    0.555111680    0.555079646
    8.236472946    1.357128957    0.587806283    0.587762140
    8.296593186    1.145732875    0.671761554    0.671688577
    8.356713427    1.149818076    0.684830527    0.684729036
    8.416833667    1.310319226    0.570364414    0.570290782
    8.476953908    1.201312297    0.479426230    0.479397143
    8.537074148    0.916377096    0.435784999    0.435791874
    8.597194389    0.793477463    0.421707813    0.421750350
    8.657314629    0.830854100    0.417642496    0.417696765
    8.717434870    0.995936882    0.416971707    0.417006628
    8.777555110    1.129197233    0.432292642    0.432314258
    8.837675351    1.087751063    0.466176264    0.466193739
    8.897795591    0.895502003    0.476295091    0.476310149
    8.957915832    0.738061250    0.420687529    0.420696696
    9.018036072    0.714610504    0.382051081    0.382055758
    9.078156313    0.696629468    0.377878755    0.377880990
    9.138276553    0.574139195    0.408251493    0.408252292
    9.198396794    0.500779158    0.449304272    0.449304141
    9.258517034    0.515662702    0.406148001    0.406147613
    9.318637275    0.633554943    0.339796528    0.339796155
    9.378757515    0.826001302    0.301648698    0.301648310
    9.438877756    0.795846991    0.278175646    0.278175222
    9.498997996    0.586645357    0.264692673    0.264692216
    9.559118236    0.468430206    0.260272486    0.260272006
    9.619238477    0.448951905    0.265766277    0.265765783
    9.679358717    0.510960283    0.283914156    0.283913677
    9.739478958    0.592211783    0.315841928    0.315841504
    9.799599198    0.551773972    0.323122249    0.323121868
    9.859719439    0.484852050    0.288068920    0.288068556
    9.919839679    0.511434693    0.267715589    0.267715281
    9.979959920    0.601562293    0.271597988    0.271597807
   10.040080160    0.601091668    0.302383710    0.302383777
   10.100200401    0.528241684    0.320765945    0.320766175
   10.160320641    0.408519539    0.275493968    0.275493968
   10.220440882    0.330038099    0.232006279    0.232006041
   10.280561122    0.305660619    0.208323841    0.208323479
   10.340681363    0.327024206    0.195808609    0.195808184
   10.400801603    0.399075884    0.189949814    0.189949354
   10.460921844    0.476714999    0.189707569    0.189707087
   10.521042084    0.517556080    0.197097125    0.197096625
   10.581162325    0.515594144    0.216894438    0.216893918
   10.641282565    0.441655981    0.239283134    0.239282603
   10.701402806    0.379062312    0.225390605    0.225390118
   10.761523046    0.368327260    0.203929916    0.203929521
   10.821643287    0.370435236    0.200417357    0.200417128
   10.881763527    0.324697894    0.217411989    0.217412106
   10.941883768    0.308996139    0.257531597    0.257532308
   11.002004008    0.355486623    0.285661405    0.285662199
   11.062124248    0.456275165    0.269875703    0.269875641
   11.122244489    0.522607934    0.238141515    0.238140716
   11.182364729    0.474028695    0.216501422    0.216500057
   11.242484970    0.368197347    0.199519151    0.199517049
   11.302605210    0.299317652    0.191507906    0.191504593
   11.362725451    0.285529863    0.197843960    0.197838367
   11.422845691    0.304673999    0.205462252    0.205452475
   11.482965932    0.357171000    0.210685446    0.210672604
   11.543086172    0.414997322    0.197072062    0.197062579
   11.603206413    0.438762971    0.179466431    0.179460623
   11.663326653    0.396213353    0.165033237    0.165029207
   11.723446894    0.307488298    0.165422107    0.165418756
   11.783567134    0.266738790    0.182819477    0.182816159
   11.843687375    0.267802927    0.204045966    0.204042181
   11.903807615    0.286137090    0.196249020    0.196244550
   11.963927856    0.277247529    0.169381886    0.169376328
   12.024048096    0.281948454    0.157801021    0.157793108
   12.084168337    0.333742991    0.152724186    0.152711358
   12.144288577    0.381631772    0.150745431    0.150722579
   12.204408818    0.360776506    0.159363003    0.159326095
   12.264529058    0.336912444    0.158949657    0.158915089
   12.324649299    0.289401803    0.145578920    0.145559069
   12.384769539    0.247716444    0.130818942    0.130808523
   12.444889780    0.252946584    0.124208094    0.124202688
   12.505010020    0.315442264    0.126558366    0.126556059
   12.565130261    0.410858036    0.133250820    0.133251015
   12.625250501    0.417505854    0.137850360    0.137853357
