# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   46.677034979   69.009876833   69.009799576
    0.060120240   46.612994416   68.917927473   68.917850302
    0.120240481   46.490245827   68.741657069   68.741580065
    0.180360721   46.329461966   68.510709315   68.510632529
    0.240480962   46.131752839   68.226632896   68.226556378
    0.300601202   45.898173714   67.890889361   67.890813162
    0.360721443   45.629949785   67.505176989   67.505101155
    0.420841683   45.328460867   67.071410286   67.071334862
    0.480961924   44.995223696   66.591696142   66.591621174
    0.541082164   44.631873134   66.068308460   66.068233990
    0.601202405   44.240142686   65.503661814   65.503587881
    0.661322645   43.821844760   64.900284665   64.900211308
    0.721442886   43.378851029   64.260792672   64.260719927
    0.781563126   42.913073273   63.587862550   63.587790449
    0.841683367   42.426444998   62.884206895   62.884135468
    0.901803607   41.920904095   62.152550345   62.152479622
    0.961923848   41.398376767   61.395607374   61.395537380
    1.022044088   40.860762879   60.616061925   60.615992684
    1.082164329   40.309922843   59.816549081   59.816480614
    1.142284569   39.747666115   58.999638838   58.999571164
    1.202404810   39.175741316   58.167822058   58.167755192
    1.262525050   38.595827970   57.323498564   57.323432521
    1.322645291   38.009529810   56.468967357   56.468902150
    1.382765531   37.418369578   55.606418842   55.606354481
    1.442885772   36.823785219   54.737928959   54.737865451
    1.503006012   36.227127372   53.865455078   53.865392430
    1.563126253   35.629658021   52.990833513   52.990771729
    1.623246493   35.032550192   52.115778474   52.115717557
    1.683366733   34.436888563   51.241882307   51.241822259
    1.743486974   33.843670859   50.370616855   50.370557676
    1.803607214   33.253809921   49.503335769   49.503277456
    1.863727455   32.668136313   48.641277623   48.641220175
    1.923847695   32.087401386   47.785569692   47.785513104
    1.983967936   31.512280677   46.937232246   46.937176514
    2.044088176   30.943377564   46.097183255   46.097128374
    2.104208417   30.381227108   45.266243382   45.266189344
    2.164328657   29.826299986   44.445141174   44.445087971
    2.224448898   29.279006481   43.634518362   43.634465988
    2.284569138   28.739700468   42.834935209   42.834883654
    2.344689379   28.208683346   42.046875821   42.046825076
    2.404809619   27.686207890   41.270753391   41.270703445
    2.464929860   27.172481992   40.506915319   40.506866164
    2.525050100   26.667672264   39.755648187   39.755599811
    2.585170341   26.171907497   39.017182543   39.017134936
    2.645290581   25.685281948   38.291697491   38.291650642
    2.705410822   25.207858460   37.579325070   37.579278967
    2.765531062   24.739671406   36.880154395   36.880109027
    2.825651303   24.280729455   36.194235585   36.194190941
    2.885771543   23.831018157   35.521583447   35.521539515
    2.945891784   23.390502358   34.862180932   34.862137700
    3.006012024   22.959128443   34.215982369   34.215939826
    3.066132265   22.536826412   33.582916469   33.582874602
    3.126252505   22.123511804   32.962889121   32.962847919
    3.186372745   21.719087459   32.355785977   32.355745429
    3.246492986   21.323445148   31.761474846   31.761434940
    3.306613226   20.936467058   31.179807885   31.179768610
    3.366733467   20.558027153   30.610623632   30.610584976
    3.426853707   20.187992412   30.053748853   30.053710804
    3.486973948   19.826223961   29.509000239   29.508962787
    3.547094188   19.472578093   28.976185955   28.976149088
    3.607214429   19.126907193   28.455107045   28.455070753
    3.667334669   18.789060574   27.945558717   27.945522988
    3.727454910   18.458885233   27.447331494   27.447296319
    3.787575150   18.136226520   26.960212271   26.960177638
    3.847695391   17.820928747   26.483985252   26.483951152
    3.907815631   17.512835726   26.018432804   26.018399227
    3.967935872   17.211791251   25.563336221   25.563303156
    4.028056112   16.917639523   25.118476399   25.118443837
    4.088176353   16.630225524   24.683634451   24.683602382
    4.148296593   16.349395351   24.258592240   24.258560655
    4.208416834   16.074996504   23.843132865   23.843101755
    4.268537074   15.806878140   23.437041076   23.437010430
    4.328657315   15.544891288   23.040103643   23.040073454
    4.388777555   15.288889040   22.652109686   22.652079945
    4.448897796   15.038726708   22.272850947   22.272821644
    4.509018036   14.794261960   21.902122034   21.902093163
    4.569138277   14.555354932   21.539720631   21.539692182
    4.629258517   14.321868321   21.185447664   21.185419630
    4.689378758   14.093667456   20.839107454   20.839079826
    4.749498998   13.870620356   20.500507832   20.500480603
    4.809619238   13.652597777   20.169460237   20.169433400
    4.869739479   13.439473234   19.845779792   19.845753339
    4.929859719   13.231123026   19.529285360   19.529259284
    4.989979960   13.027426242   19.219799582   19.219773875
    5.050100200   12.828264757   18.917148903   18.917123559
    5.110220441   12.633523227   18.621163587   18.621138599
    5.170340681   12.443089073   18.331677710   18.331653071
    5.230460922   12.256852453   18.048529155   18.048504858
    5.290581162   12.074706243   17.771559588   17.771535628
    5.350701403   11.896545998   17.500614433   17.500590803
    5.410821643   11.722269921   17.235542834   17.235519529
    5.470941884   11.551778821   16.976197618   16.976174630
    5.531062124   11.384976069   16.722435241   16.722412566
    5.591182365   11.221767558   16.474115745   16.474093376
    5.651302605   11.062061652   16.231102697   16.231080629
    5.711422846   10.905769143   15.993263133   15.993241360
    5.771543086   10.752803195   15.760467496   15.760446014
    5.831663327   10.603079299   15.532589575   15.532568377
    5.891783567   10.456515220   15.309506435   15.309485517
    5.951903808   10.313030945   15.091098355   15.091077712
    6.012024048   10.172548632   14.877248759   14.877228385
    6.072144289   10.034992561   14.667844146   14.667824038
    6.132264529    9.900289075   14.462774024   14.462754177
    6.192384770    9.768366537   14.261930840   14.261911248
    6.252505010    9.639155273   14.065209908   14.065190567
    6.312625251    9.512587526   13.872509346   13.872490252
    6.372745491    9.388597402   13.683730003   13.683711152
    6.432865731    9.267120824   13.498775394   13.498756781
    6.492985972    9.148095481   13.317551629   13.317533251
    6.553106212    9.031460783   13.139967354   13.139949205
    6.613226453    8.917157810   12.965933677   12.965915754
    6.673346693    8.805129272   12.795364109   12.795346409
    6.733466934    8.695319457   12.628174499   12.628157017
    6.793587174    8.587674193   12.464282972   12.464265705
    6.853707415    8.482140801   12.303609867   12.303592812
    6.913827655    8.378668055   12.146077679   12.146060831
    6.973947896    8.277206136   11.991610996   11.991594352
    7.034068136    8.177706601   11.840136447   11.840120004
    7.094188377    8.080122333   11.691582641   11.691566395
    7.154308617    7.984407511   11.545880115   11.545864063
    7.214428858    7.890517568   11.402961278   11.402945418
    7.274549098    7.798409158   11.262760362   11.262744689
    7.334669339    7.708040115   11.125213366   11.125197878
    7.394789579    7.619369427   10.990258010   10.990242703
    7.454909820    7.532357194   10.857833684   10.857818557
    7.515030060    7.446964602   10.727881404   10.727866452
    7.575150301    7.363153887   10.600343760   10.600328982
    7.635270541    7.280888307   10.475164878   10.475150269
    7.695390782    7.200132110   10.352290370   10.352275929
    7.755511022    7.120850507   10.231667295   10.231653019
    7.815631263    7.043009642   10.113244119   10.113230005
    7.875751503    6.966576566    9.996970670    9.996956715
    7.935871743    6.891519209    9.882798103    9.882784305
    7.995991984    6.817806357    9.770678861    9.770665218
    8.056112224    6.745407623    9.660566636    9.660553146
    8.116232465    6.674293426    9.552416338    9.552402997
    8.176352705    6.604434966    9.446184054    9.446170861
    8.236472946    6.535804202    9.341827019    9.341813971
    8.296593186    6.468373830    9.239303580    9.239290675
    8.356713427    6.402117258    9.138573168    9.138560404
    8.416833667    6.337008591    9.039596262    9.039583637
    8.476953908    6.273022607    8.942334363    8.942321874
    8.537074148    6.210134737    8.846749964    8.846737609
    8.597194389    6.148321051    8.752806518    8.752794296
    8.657314629    6.087558231    8.660468418    8.660456327
    8.717434870    6.027823563    8.569700964    8.569689001
    8.777555110    5.969094911    8.480470339    8.480458503
    8.837675351    5.911350706    8.392743584    8.392731872
    8.897795591    5.854569929    8.306488574    8.306476986
