# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   10.797880296   10.797879971   10.797879905
    0.060120240   10.789301533   10.789301208   10.789301142
    0.120240481   10.772847155   10.772846831   10.772846765
    0.180360721   10.751271131   10.751270809   10.751270743
    0.240480962   10.724703791   10.724703472   10.724703405
    0.300601202   10.693264190   10.693263874   10.693263806
    0.360721443   10.657090479   10.657090167   10.657090098
    0.420841683   10.616338195   10.616337887   10.616337817
    0.480961924   10.571178271   10.571177967   10.571177896
    0.541082164   10.521794944   10.521794645   10.521794572
    0.601202405   10.468383603   10.468383309   10.468383235
    0.661322645   10.411148631   10.411148342   10.411148267
    0.721442886   10.350301280   10.350300996   10.350300920
    0.781563126   10.286057618   10.286057340   10.286057262
    0.841683367   10.218636581   10.218636309   10.218636230
    0.901803607   10.148258156   10.148257891   10.148257810
    0.961923848   10.075141717   10.075141457   10.075141375
    1.022044088    9.999504516    9.999504263    9.999504179
    1.082164329    9.921560359    9.921560112    9.921560027
    1.142284569    9.841518440    9.841518200    9.841518114
    1.202404810    9.759582364    9.759582130    9.759582042
    1.262525050    9.675949317    9.675949090    9.675949001
    1.322645291    9.590809412    9.590809191    9.590809100
    1.382765531    9.504345165    9.504344950    9.504344859
    1.442885772    9.416731119    9.416730910    9.416730818
    1.503006012    9.328133579    9.328133377    9.328133283
    1.563126253    9.238710462    9.238710266    9.238710172
    1.623246493    9.148611236    9.148611045    9.148610950
    1.683366733    9.057976941    9.057976756    9.057976660
    1.743486974    8.966940284    8.966940105    8.966940009
    1.803607214    8.875625787    8.875625613    8.875625516
    1.863727455    8.784149979    8.784149811    8.784149713
    1.923847695    8.692621634    8.692621471    8.692621373
    1.983967936    8.601142033    8.601141875    8.601141776
    2.044088176    8.509805245    8.509805092    8.509804993
    2.104208417    8.418698430    8.418698282    8.418698182
    2.164328657    8.327902145    8.327902002    8.327901903
    2.224448898    8.237490664    8.237490525    8.237490426
    2.284569138    8.147532285    8.147532151    8.147532051
    2.344689379    8.058089652    8.058089522    8.058089422
    2.404809619    7.969220057    7.969219931    7.969219831
    2.464929860    7.880975746    7.880975624    7.880975524
    2.525050100    7.793404210    7.793404092    7.793403993
    2.585170341    7.706548474    7.706548359    7.706548260
    2.645290581    7.620447362    7.620447251    7.620447152
    2.705410822    7.535135769    7.535135662    7.535135563
    2.765531062    7.450644904    7.450644800    7.450644702
    2.825651303    7.367002536    7.367002436    7.367002337
    2.885771543    7.284233217    7.284233119    7.284233022
    2.945891784    7.202358499    7.202358405    7.202358307
    3.006012024    7.121397142    7.121397051    7.121396954
