# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.008726399    0.008726398    0.008726398
    0.120240481    0.017493629    0.017493627    0.017493627
    0.180360721    0.026343123    0.026343120    0.026343121
    0.240480962    0.035317539    0.035317536    0.035317537
    0.300601202    0.044461418    0.044461414    0.044461415
    0.360721443    0.053821904    0.053821899    0.053821900
    0.420841683    0.063449552    0.063449545    0.063449547
    0.480961924    0.073399244    0.073399236    0.073399239
    0.541082164    0.083731270    0.083731261    0.083731263
    0.601202405    0.094512592    0.094512582    0.094512585
    0.661322645    0.105818380    0.105818369    0.105818372
    0.721442886    0.117733873    0.117733860    0.117733864
    0.781563126    0.130356678    0.130356664    0.130356668
    0.841683367    0.143799641    0.143799625    0.143799630
    0.901803607    0.158194469    0.158194450    0.158194456
    0.961923848    0.173696350    0.173696329    0.173696336
    1.022044088    0.190489930    0.190489907    0.190489914
    1.082164329    0.208797109    0.208797083    0.208797091
    1.142284569    0.228887372    0.228887343    0.228887353
    1.202404810    0.251091648    0.251091615    0.251091626
    1.262525050    0.275821174    0.275821136    0.275821149
    1.322645291    0.303593595    0.303593552    0.303593567
    1.382765531    0.335069710    0.335069661    0.335069678
    1.442885772    0.371106200    0.371106143    0.371106164
    1.503006012    0.412832949    0.412832883    0.412832908
    1.563126253    0.461769155    0.461769078    0.461769107
    1.623246493    0.520002474    0.520002383    0.520002418
    1.683366733    0.590473991    0.590473882    0.590473925
    1.743486974    0.677447631    0.677447499    0.677447552
    1.803607214    0.787315069    0.787314905    0.787314972
    1.863727455    0.930041540    0.930041333    0.930041419
    1.923847695    1.121906858    1.121906590    1.121906704
    1.983967936    1.391037134    1.391036776    1.391036931
    2.044088176    1.789389580    1.789389079    1.789389300
    2.104208417    2.420726628    2.420725888    2.420726219
    2.164328657    3.509466105    3.509464929    3.509465462
    2.224448898    5.553805387    5.553803353    5.553804286
    2.284569138    9.297530941    9.297527292    9.297528980
