# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.83169117E-06     -0.10991753E-05     -0.32963691E-04     -0.15660757E-02
       2     -0.96810583E-06     -0.10991753E-05     -0.60395538E-04     -0.15660757E-02
       3     -0.10596482E-05     -0.10991753E-05     -0.95310723E-04     -0.15660757E-02
       4     -0.10877893E-05     -0.10991753E-05     -0.12187818E-03     -0.15660757E-02
       5     -0.10938845E-05     -0.10991753E-05     -0.14622755E-03     -0.15660757E-02
       6     -0.10968404E-05     -0.10991753E-05     -0.17202637E-03     -0.15660757E-02
       7     -0.10978003E-05     -0.10991753E-05     -0.19293433E-03     -0.15660757E-02
       8     -0.10982125E-05     -0.10991753E-05     -0.21666331E-03     -0.15660757E-02
       9     -0.10984509E-05     -0.10991753E-05     -0.23382741E-03     -0.15660757E-02
      10     -0.10985358E-05     -0.10991753E-05     -0.25512591E-03     -0.15660757E-02
      11     -0.10985949E-05     -0.10991753E-05     -0.27818958E-03     -0.15660757E-02
      12     -0.10986407E-05     -0.10991753E-05     -0.29639044E-03     -0.15660757E-02
      13     -0.10987088E-05     -0.10991753E-05     -0.31320677E-03     -0.15660757E-02
      14     -0.10987328E-05     -0.10991753E-05     -0.33569607E-03     -0.15660757E-02
      15     -0.10987500E-05     -0.10991753E-05     -0.35723883E-03     -0.15660757E-02
      16     -0.10987667E-05     -0.10991753E-05     -0.38781935E-03     -0.15660757E-02
      17     -0.10987765E-05     -0.10991753E-05     -0.42339748E-03     -0.15660757E-02
      18     -0.10987948E-05     -0.10991753E-05     -0.46062106E-03     -0.15660757E-02
      19     -0.10988143E-05     -0.10991753E-05     -0.48955450E-03     -0.15660757E-02
      20     -0.10988264E-05     -0.10991753E-05     -0.51652930E-03     -0.15660757E-02
      21     -0.10988493E-05     -0.10991753E-05     -0.55003167E-03     -0.15660757E-02
      22     -0.10988597E-05     -0.10991753E-05     -0.57944766E-03     -0.15660757E-02
      23     -0.10988742E-05     -0.10991753E-05     -0.60161390E-03     -0.15660757E-02
      24     -0.10988841E-05     -0.10991753E-05     -0.62698400E-03     -0.15660757E-02
      25     -0.10988931E-05     -0.10991753E-05     -0.67656494E-03     -0.15660757E-02
      26     -0.10989051E-05     -0.10991753E-05     -0.70908537E-03     -0.15660757E-02
      27     -0.10989151E-05     -0.10991753E-05     -0.73994652E-03     -0.15660757E-02
      28     -0.10989244E-05     -0.10991753E-05     -0.77029896E-03     -0.15660757E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.25000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.66382480E-02     -0.16051657E-01     -0.23166469E-04     -0.99329739E-03
       2     -0.98954484E-02     -0.16051657E-01     -0.42662717E-04     -0.99329739E-03
       3     -0.13126556E-01     -0.16051657E-01     -0.66992401E-04     -0.99329739E-03
       4     -0.14702267E-01     -0.16051657E-01     -0.85622707E-04     -0.99329739E-03
       5     -0.15403540E-01     -0.16051657E-01     -0.10454916E-03     -0.99329739E-03
       6     -0.15770102E-01     -0.16051657E-01     -0.12259070E-03     -0.99329739E-03
       7     -0.15883234E-01     -0.16051657E-01     -0.13834703E-03     -0.99329739E-03
       8     -0.15944970E-01     -0.16051657E-01     -0.15450060E-03     -0.99329739E-03
       9     -0.15991503E-01     -0.16051657E-01     -0.16619023E-03     -0.99329739E-03
      10     -0.16002810E-01     -0.16051657E-01     -0.18153868E-03     -0.99329739E-03
      11     -0.16008005E-01     -0.16051657E-01     -0.19825796E-03     -0.99329739E-03
      12     -0.16013326E-01     -0.16051657E-01     -0.21241773E-03     -0.99329739E-03
      13     -0.16018601E-01     -0.16051657E-01     -0.22511139E-03     -0.99329739E-03
      14     -0.16021878E-01     -0.16051657E-01     -0.24164771E-03     -0.99329739E-03
      15     -0.16024260E-01     -0.16051657E-01     -0.26049619E-03     -0.99329739E-03
      16     -0.16025861E-01     -0.16051657E-01     -0.27654048E-03     -0.99329739E-03
      17     -0.16026560E-01     -0.16051657E-01     -0.29669488E-03     -0.99329739E-03
      18     -0.16028041E-01     -0.16051657E-01     -0.31724532E-03     -0.99329739E-03
      19     -0.16029360E-01     -0.16051657E-01     -0.33651531E-03     -0.99329739E-03
      20     -0.16030486E-01     -0.16051657E-01     -0.35183622E-03     -0.99329739E-03
      21     -0.16031951E-01     -0.16051657E-01     -0.36920127E-03     -0.99329739E-03
      22     -0.16032766E-01     -0.16051657E-01     -0.38747816E-03     -0.99329739E-03
      23     -0.16033680E-01     -0.16051657E-01     -0.40284920E-03     -0.99329739E-03
      24     -0.16034420E-01     -0.16051657E-01     -0.41834524E-03     -0.99329739E-03
      25     -0.16034944E-01     -0.16051657E-01     -0.44611473E-03     -0.99329739E-03
      26     -0.16035755E-01     -0.16051657E-01     -0.46841551E-03     -0.99329739E-03
      27     -0.16036323E-01     -0.16051657E-01     -0.48843848E-03     -0.99329739E-03
      28     -0.16036891E-01     -0.16051657E-01     -0.50590707E-03     -0.99329739E-03
 
# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 3)
