# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.88938776E+00  -8.51937870E+00   3.70009064E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.51645509E-01   5.84781699E-01  -6.68638096E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.40169080E-01  -7.45769474E-01  -5.60039437E-03
      2  -2.34235664E+00  -1.39291534E+00   9.49441296E-01
      3  -3.74663363E+00  -2.06664635E+00   1.67998728E+00
      4  -5.25703787E+00  -2.64487266E+00   2.61216520E+00
      5  -5.45149672E+00  -3.68862906E+00   1.76286766E+00
      6  -5.68027559E+00  -4.70118192E+00   9.79093668E-01
      7  -6.03775366E+00  -5.69212093E+00   3.45632725E-01
      8  -6.33224951E+00  -6.05269810E+00   2.79551414E-01
      9  -6.60197006E+00  -6.25797959E+00   3.43990473E-01
     10  -6.80626393E+00  -6.48867236E+00   3.17591572E-01
     11  -6.95201919E+00  -6.65908587E+00   2.92933319E-01
     12  -7.14375798E+00  -6.83849147E+00   3.05266504E-01
     13  -7.24043453E+00  -6.95948608E+00   2.80948450E-01
     14  -7.33065900E+00  -7.08805714E+00   2.42601856E-01
     15  -7.41220398E+00  -7.18055298E+00   2.31651006E-01
     16  -7.51555514E+00  -7.25873580E+00   2.56819336E-01
     17  -7.59956543E+00  -7.33360254E+00   2.65962896E-01
     18  -7.66966756E+00  -7.39085496E+00   2.78812603E-01
     19  -7.73339118E+00  -7.45306728E+00   2.80323898E-01
     20  -7.79657837E+00  -7.51175857E+00   2.84819797E-01
     21  -7.84379810E+00  -7.56777012E+00   2.76027980E-01
     22  -7.89254178E+00  -7.61827457E+00   2.74267216E-01
     23  -7.93638505E+00  -7.65735847E+00   2.79026584E-01
     24  -7.96624366E+00  -7.69059770E+00   2.75645961E-01
     25  -8.01920685E+00  -7.72306335E+00   2.96143505E-01
     26  -8.05740129E+00  -7.75490399E+00   3.02497295E-01
     27  -8.08677210E+00  -7.78456771E+00   3.02204390E-01
     28  -8.10909420E+00  -7.81139504E+00   2.97699156E-01
     29  -8.13439915E+00  -7.83376758E+00   3.00631562E-01
     30  -8.15531128E+00  -7.85622916E+00   2.99082116E-01
     31  -8.17467979E+00  -7.87800522E+00   2.96674563E-01
     32  -8.19071427E+00  -7.89840835E+00   2.92305926E-01
     33  -8.21255428E+00  -7.91486943E+00   2.97684850E-01
     34  -8.23774226E+00  -7.93459700E+00   3.03145255E-01
# k =   0.000000   0.000000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.68713906E+00  -8.58971190E+00   9.74271557E-02
# Error est. for CH(vbm) CH(cbm) diff =   5.99661720E-01   5.64197941E-01  -3.54637786E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.20010819E-01  -9.00429170E-01  -8.04183505E-02
      2  -1.90695417E+00  -1.82201163E+00   8.49425481E-02
      3  -3.52639648E+00  -2.32057039E+00   1.20582609E+00
