# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000   11.901790423   12.928778422   11.464353647
    0.207178631   11.904977915   12.932059738   11.467304642
    0.214357262   11.908288664   12.935463188   11.470367107
    0.221535893   11.911724093   12.938989573   11.473541980
    0.228714524   11.915285734   12.942639750   11.476830265
    0.235893155   11.918975243   12.946414638   11.480233038
    0.243071786   11.922794411   12.950315221   11.483751455
    0.250250417   11.926745175   12.954342555   11.487386759
    0.257429048   11.930829636   12.958497772   11.491140287
    0.264607679   11.935050074   12.962782095   11.495013479
    0.271786311   11.939408969   12.967196836   11.499007891
    0.278964942   11.943909026   12.971743416   11.503125201
    0.286143573   11.948553195   12.976423370   11.507367231
    0.293322204   11.953344706   12.981238362   11.511735954
    0.300500835   11.958287104   12.986190202   11.516233518
    0.307679466   11.963384285   12.991280860   11.520862261
    0.314858097   11.968640549   12.996512489   11.525624740
    0.322036728   11.974060649   13.001887451   11.530523757
    0.329215359   11.979649861   13.007408343   11.535562389
    0.336393990   11.985414059   13.013078028   11.540744027
    0.343572621   11.991359808   13.018899685   11.546072425
    0.350751252   11.997494472   13.024876847   11.551551748
    0.357929883   12.003826346   13.031013466   11.557186635
    0.365108514   12.010364818   13.037313984   11.562982283
    0.372287145   12.017120563   13.043783420   11.568944533
    0.379465776   12.024105786   13.050427479   11.575079985
    0.386644407   12.031334514   13.057252688   11.581396137
    0.393823038   12.038822974   13.064266570   11.587901560
    0.401001669   12.046590059   13.071477861   11.594606112
    0.408180301   12.054657928   13.078896792   11.601521211
    0.415358932   12.063052772   13.086535461   11.608660185
    0.422537563   12.071805823   13.094408315   11.616038725
    0.429716194   12.080954667   13.102532802   11.623675472
    0.436894825   12.090545010   13.110930256   11.631592806
    0.444073456   12.100633048   13.119627100   11.639817889
    0.451252087   12.111288711   13.128656521   11.648384093
    0.458430718   12.122600107   13.138060787   11.657332938
    0.465609349   12.134679608   13.147894424   11.666716730
    0.472787980   12.147671979   13.158228347   11.676602031
    0.479966611   12.161764218   13.169154332   11.687073728
    0.487145242   12.177193466   13.180786136   11.698237783
    0.494323873   12.194235384   13.193241309   11.710213862
    0.501502504   12.213099394   13.206538758   11.723081429
    0.508681135   12.233441737   13.220159914   11.736637006
    0.515859766   12.252634387   13.231538341   11.749538967
    0.523038397   12.263446810   13.234282847   11.758170193
    0.530217028   12.264285255   13.228346051   11.761747300
    0.537395659   12.268680939   13.227188873   11.767426312
    0.544574290   12.282709732   13.236148438   11.780597898
    0.551752922   12.286221738   13.249103761   11.798209701
    0.558931553   12.259105981   13.259493562   11.815386166
    0.566110184   12.240587849   13.270478062   11.833994301
    0.573288815   12.237547652   13.279726080   11.848039719
    0.580467446   12.210965754   13.279789156   11.836551563
    0.587646077   12.182564734   13.283239865   11.788189894
    0.594824708   12.181691644   13.298412331   11.744376223
    0.602003339   12.187086678   13.316942994   11.742873486
    0.609181970   12.162212931   13.332261752   11.757209925
    0.616360601   12.136263975   13.348203315   11.771175475
    0.623539232   12.136911706   13.363786917   11.782936953
    0.630717863   12.135346420   13.368413902   11.784537010
    0.637896494   12.126708483   13.362428790   11.787061527
    0.645075125   12.130932293   13.358713825   11.799235932
    0.652253756   12.144687743   13.353352367   11.808677353
    0.659432387   12.147525460   13.323096124   11.796471452
    0.666611018   12.149095428   13.296767390   11.779079633
    0.673789649   12.166377136   13.304922493   11.785472664
    0.680968280   12.193341815   13.330633312   11.808690817
    0.688146912   12.222409178   13.358361976   11.836019037
    0.695325543   12.249325660   13.377644747   11.857424634
    0.702504174   12.269998660   13.380078756   11.864173991
    0.709682805   12.282049775   13.380744717   11.865223897
    0.716861436   12.283227955   13.391504053   11.871700544
    0.724040067   12.275134401   13.400790828   11.875210259
    0.731218698   12.271328551   13.403544337   11.864285689
    0.738397329   12.275613286   13.408745692   11.856151332
    0.745575960   12.288849344   13.425342294   11.867360396
    0.752754591   12.303530831   13.448233310   11.887020895
    0.759933222   12.319536813   13.472596681   11.909353133
    0.767111853   12.340084249   13.497093224   11.934560734
    0.774290484   12.362142594   13.521265539   11.960595408
    0.781469115   12.382594251   13.543576979   11.984621291
    0.788647746   12.399003736   13.559830515   12.001236331
    0.795826377   12.411701804   13.563556746   12.001829888
    0.803005008   12.422147125   13.555615625   11.987659757
    0.810183639   12.436327889   13.559424212   11.988328393
    0.817362270   12.455585548   13.578800879   12.008048715
    0.824540902   12.476742456   13.603424792   12.033556512
    0.831719533   12.498222954   13.627371097   12.055734086
    0.838898164   12.519335739   13.645872916   12.064889809
    0.846076795   12.540111341   13.657915754   12.062501337
    0.853255426   12.561462947   13.668598400   12.064330168
    0.860434057   12.584593106   13.685096663   12.077569431
    0.867612688   12.609620279   13.707948745   12.100300443
    0.874791319   12.634400356   13.728209576   12.125274669
    0.881969950   12.653589749   13.736043014   12.147052298
    0.889148581   12.664555287   13.739053811   12.164436434
    0.896327212   12.675600127   13.751964910   12.183438467
    0.903505843   12.679249662   13.769318353   12.202524418
    0.910684474   12.670578032   13.788151725   12.218034853
    0.917863105   12.660693815   13.807016738   12.233897715
    0.925041736   12.659886613   13.827796787   12.254924656
    0.932220367   12.678683269   13.853488266   12.280774481
    0.939398998   12.702087123   13.879541285   12.302953937
    0.946577629   12.716458944   13.902413785   12.316190581
    0.953756260   12.722342389   13.923568570   12.324899120
    0.960934891   12.730552830   13.946665445   12.340060761
    0.968113523   12.742231144   13.969144976   12.366224697
    0.975292154   12.748538554   13.980117791   12.391702338
    0.982470785   12.760221201   13.980365938   12.402885217
    0.989649416   12.784087532   13.989348942   12.401884980
    0.996828047   12.813514434   14.012986637   12.410158325
    1.004006678   12.839237350   14.038498461   12.415171382
    1.011185309   12.860210804   14.058762626   12.401677214
    1.018363940   12.878630753   14.074714171   12.383350328
    1.025542571   12.899215387   14.095315890   12.370127146
    1.032721202   12.927606147   14.127632835   12.381248709
    1.039899833   12.952264439   14.156386236   12.404729234
    1.047078464   12.949752865   14.157036039   12.419814512
    1.054257095   12.924351345   14.125747108   12.431869785
    1.061435726   12.921172671   14.105332479   12.452825332
    1.068614357   12.942464749   14.115369657   12.484267861
    1.075792988   12.971578313   14.138177144   12.518115442
    1.082971619   13.002254788   14.160138270   12.542828166
    1.090150250   13.029301148   14.170688612   12.550903333
    1.097328881   13.055279967   14.182360509   12.556217475
    1.104507513   13.078365388   14.204155090   12.568801638
    1.111686144   13.101975576   14.233446779   12.589569124
    1.118864775   13.125541780   14.265805170   12.612487091
    1.126043406   13.132458065   14.293033770   12.624714585
    1.133222037   13.123175481   14.308787469   12.621534769
    1.140400668   13.122705422   14.326069471   12.625328839
    1.147579299   13.144898909   14.355899593   12.648798072
    1.154757930   13.177130012   14.389213457   12.679670505
    1.161936561   13.207889412   14.416684960   12.707291911
    1.169115192   13.234956306   14.441354044   12.730043830
    1.176293823   13.265070508   14.470325075   12.755859793
    1.183472454   13.297652559   14.505094118   12.790622481
    1.190651085   13.323058021   14.539572677   12.827696299
    1.197829716   13.339153038   14.570428034   12.856001424
    1.205008347   13.347176476   14.592706114   12.871678487
    1.212186978   13.358307797   14.610800884   12.889097419
    1.219365609   13.370085991   14.624294591   12.905984022
    1.226544240   13.385267307   14.635990499   12.915408508
    1.233722871   13.408288383   14.644637464   12.925491860
    1.240901503   13.435740866   14.655327958   12.943365907
    1.248080134   13.467105012   14.681089471   12.971014289
    1.255258765   13.503826255   14.717078484   13.001279388
    1.262437396   13.534978193   14.744959869   13.017644834
    1.269616027   13.561824512   14.770634403   13.028393186
    1.276794658   13.595678700   14.805280157   13.055386633
    1.283973289   13.627130231   14.841877148   13.089979341
    1.291151920   13.645867290   14.876133793   13.123303407
    1.298330551   13.654117602   14.904988387   13.151325873
    1.305509182   13.657545655   14.922261162   13.165308869
    1.312687813   13.666302497   14.936886648   13.175870163
    1.319866444   13.688105434   14.956799307   13.202634857
    1.327045075   13.719846161   14.980587667   13.237334031
    1.334223706   13.758425552   15.006807926   13.265804228
    1.341402337   13.799081417   15.038780504   13.295238073
    1.348580968   13.835072061   15.077638318   13.331982138
    1.355759599   13.854983227   15.115561031   13.362686374
    1.362938230   13.862260514   15.152385335   13.385321996
    1.370116861   13.888136668   15.190429732   13.417868287
    1.377295492   13.935132967   15.230462098   13.462683068
    1.384474124   13.978872502   15.268073578   13.503833525
    1.391652755   14.006424879   15.302173547   13.530909406
    1.398831386   14.018900631   15.337237654   13.542461633
    1.406010017   14.021960773   15.368011113   13.545720268
    1.413188648   14.029404248   15.383743803   13.558503318
    1.420367279   14.044016057   15.386958604   13.587594583
    1.427545910   14.070348744   15.406098918   13.631664976
    1.434724541   14.109695095   15.443413923   13.675156733
    1.441903172   14.151511320   15.481083859   13.711800786
    1.449081803   14.193659301   15.514707441   13.746075117
    1.456260434   14.230611402   15.550063292   13.782939827
    1.463439065   14.248118973   15.594900543   13.808230511
    1.470617696   14.261532424   15.636338071   13.808304949
    1.477796327   14.285320131   15.665835191   13.815142647
    1.484974958   14.307038718   15.689103825   13.832043558
    1.492153589   14.317329893   15.708565670   13.833635395
    1.499332220   14.334087793   15.721609349   13.811627637
    1.506510851   14.361502766   15.732815301   13.780677571
    1.513689482   14.391383865   15.755371698   13.780810443
    1.520868114   14.410332966   15.781819049   13.796847318
    1.528046745   14.419812659   15.806474923   13.832108823
    1.535225376   14.450675427   15.838706830   13.889256231
    1.542404007   14.496785539   15.873641525   13.944684388
    1.549582638   14.539749539   15.905623059   13.980302755
    1.556761269   14.564562635   15.941454267   13.991239206
    1.563939900   14.586720919   15.996437868   14.004543113
    1.571118531   14.619191653   16.061134978   14.021762394
    1.578297162   14.651632694   16.118539453   14.039873753
    1.585475793   14.677334855   16.158482348   14.067615826
    1.592654424   14.699789059   16.177356293   14.096154439
    1.599833055   14.713241706   16.177872451   14.116766903
    1.607011686   14.724227171   16.182358202   14.148723802
    1.614190317   14.750825141   16.210948255   14.200563018
    1.621368948   14.787853431   16.258981845   14.256122121
    1.628547579   14.826142126   16.307705780   14.299091677
    1.635726210   14.869865896   16.354134366   14.335786677
    1.642904841   14.913818550   16.406105842   14.368097710
    1.650083472   14.940684197   16.454176964   14.384236947
    1.657262104   14.968441366   16.496685639   14.407560019
    1.664440735   15.016560822   16.538746160   14.452887466
    1.671619366   15.065650070   16.575795440   14.508209062
    1.678797997   15.103266607   16.613061955   14.562393857
    1.685976628   15.137636672   16.665161860   14.602976442
    1.693155259   15.173534203   16.724351017   14.635574356
    1.700333890   15.225677086   16.786156831   14.678658607
    1.707512521   15.284134835   16.834010541   14.713668026
    1.714691152   15.335957340   16.865367653   14.736451636
    1.721869783   15.387233382   16.905360543   14.769164083
    1.729048414   15.421694266   16.949755299   14.805079113
    1.736227045   15.428162416   16.984247760   14.832314774
    1.743405676   15.411716861   17.013898157   14.853690538
    1.750584307   15.402838222   17.038987654   14.874849137
    1.757762938   15.425041515   17.069534484   14.898786405
    1.764941569   15.465870450   17.114610126   14.928043356
    1.772120200   15.521010953   17.163629333   14.977545330
    1.779298831   15.585353197   17.201789128   15.042063025
    1.786477462   15.653046997   17.242510680   15.109386169
    1.793656093   15.707317329   17.283338032   15.169462201
    1.800834725   15.740973290   17.327567699   15.212597827
    1.808013356   15.771128742   17.388717771   15.239082826
    1.815191987   15.806884282   17.453548022   15.262900622
    1.822370618   15.845119963   17.505231291   15.290368873
    1.829549249   15.888418100   17.550099135   15.337496868
    1.836727880   15.932579505   17.595419667   15.397483935
    1.843906511   15.980280951   17.645861109   15.452374567
    1.851085142   16.026190082   17.694138409   15.490778313
    1.858263773   16.084199750   17.749125695   15.531892129
    1.865442404   16.147160098   17.812820488   15.590881109
    1.872621035   16.191840659   17.864325617   15.648081719
    1.879799666   16.242171345   17.919992722   15.706736923
    1.886978297   16.308288018   17.998349411   15.770487870
    1.894156928   16.375626451   18.087403340   15.827053116
    1.901335559   16.442178633   18.170589594   15.875944858
    1.908514190   16.512430655   18.248123156   15.924307365
    1.915692821   16.581948737   18.318896424   15.969757390
    1.922871452   16.629180690   18.372303489   16.004955474
    1.930050083   16.659415747   18.417128127   16.039333970
    1.937228715   16.704688915   18.476459968   16.093484254
    1.944407346   16.764945064   18.551987093   16.158923342
    1.951585977   16.840393790   18.638197779   16.231650187
    1.958764608   16.920123211   18.727124380   16.311058837
    1.965943239   16.995827908   18.819706108   16.391570659
    1.973121870   17.076512025   18.917097744   16.459792497
    1.980300501   17.149032134   18.992650976   16.487743197
    1.987479132   17.204894188   19.042977703   16.496999309
    1.994657763   17.254074226   19.080483236   16.527225522
    2.001836394   17.312469972   19.121507729   16.581354242
    2.009015025   17.389922518   19.170284545   16.645482082
    2.016193656   17.465345384   19.214656514   16.704394015
    2.023372287   17.529112151   19.255997593   16.770998281
    2.030550918   17.589122505   19.318680913   16.854163355
    2.037729549   17.657582263   19.408809443   16.940012953
    2.044908180   17.734902170   19.511309614   17.014359056
    2.052086811   17.804541552   19.612662632   17.083292301
    2.059265442   17.866330748   19.706016828   17.155537090
    2.066444073   17.932466623   19.785090141   17.223155223
    2.073622705   18.012610064   19.858211947   17.275998855
    2.080801336   18.086649496   19.929036349   17.324664195
    2.087979967   18.135988391   20.011067996   17.394853897
    2.095158598   18.186242219   20.111677572   17.483901781
    2.102337229   18.261986004   20.217935173   17.574409576
    2.109515860   18.358954988   20.323305718   17.664197672
    2.116694491   18.465238543   20.435436987   17.756917749
    2.123873122   18.564180398   20.545913714   17.847857362
    2.131051753   18.653066409   20.633310472   17.925201061
    2.138230384   18.744836081   20.709676688   18.002169918
    2.145409015   18.851085287   20.799301547   18.094649166
    2.152587646   18.946689884   20.890049344   18.175253432
    2.159766277   19.019799570   20.978818408   18.236951043
    2.166944908   19.087334483   21.082083829   18.319385480
    2.174123539   19.141643755   21.200205752   18.417249547
    2.181302170   19.190428318   21.320345576   18.498493384
    2.188480801   19.249849215   21.443168290   18.568939542
    2.195659432   19.328264130   21.571040369   18.655158663
    2.202838063   19.405955945   21.693704614   18.752568938
    2.210016694   19.495010957   21.797458331   18.851934130
    2.217195326   19.606520919   21.909209087   18.954991983
    2.224373957   19.728097978   22.029728603   19.064564724
    2.231552588   19.842754309   22.140977372   19.168062093
    2.238731219   19.950519287   22.259743021   19.263941259
    2.245909850   20.063338502   22.409807364   19.378077202
    2.253088481   20.174501341   22.581189267   19.510850113
    2.260267112   20.288967417   22.742921727   19.643787869
    2.267445743   20.408254542   22.896444874   19.774922803
    2.274624374   20.513315766   23.034421833   19.903270121
    2.281803005   20.640382874   23.164672545   20.042295573
    2.288981636   20.791485844   23.324906677   20.189520963
    2.296160267   20.934922985   23.508865868   20.327243119
    2.303338898   21.070166512   23.685798279   20.458812690
    2.310517529   21.201390853   23.860395276   20.588717588
    2.317696160   21.323000199   24.039829120   20.692790149
    2.324874791   21.416409167   24.211848744   20.765510878
    2.332053422   21.508553161   24.375326860   20.872966538
    2.339232053   21.626698463   24.532950304   21.032121212
    2.346410684   21.748670863   24.701448381   21.211204019
    2.353589316   21.860048701   24.906288311   21.380271187
    2.360767947   21.972594792   25.127321786   21.506857252
    2.367946578   22.118073959   25.332183132   21.611917738
    2.375125209   22.289602596   25.502850563   21.718081838
    2.382303840   22.455436741   25.650008651   21.813795137
    2.389482471   22.638403490   25.830969566   21.938685137
    2.396661102   22.834345504   26.029513780   22.087969702
    2.403839733   22.999020550   26.147877141   22.233466231
    2.411018364   23.164813938   26.253068314   22.397071228
    2.418196995   23.360436721   26.461555068   22.596496069
    2.425375626   23.573502798   26.740275889   22.821712394
    2.432554257   23.761870002   26.992663520   23.054341517
    2.439732888   23.937159881   27.215793370   23.289337816
    2.446911519   24.138919310   27.448665089   23.533916642
    2.454090150   24.323362988   27.631317002   23.716550641
    2.461268781   24.476837334   27.783134661   23.839648274
    2.468447412   24.664542417   28.017024817   24.015908069
    2.475626043   24.899850611   28.347364826   24.259697207
    2.482804674   25.149507941   28.747884202   24.567345827
    2.489983306   25.403264739   29.153698030   24.926850163
    2.497161937   25.691322555   29.517123970   25.275220432
    2.504340568   25.978666083   29.907639942   25.534133832
    2.511519199   26.201207999   30.295676006   25.592485873
    2.518697830   26.402397108   30.682076592   25.570277701
    2.525876461   26.695001136   31.175332927   25.805325292
    2.533055092   27.067380344   31.653894901   26.196598496
    2.540233723   27.420374890   31.843716591   26.524368604
    2.547412354   27.673781841   31.975631885   26.807657209
    2.554590985   27.919788897   32.416372395   27.188755116
    2.561769616   28.310501566   32.926786511   27.697722597
    2.568948247   28.713942337   33.238037994   28.099220717
    2.576126878   28.993265380   33.554715755   28.321457110
    2.583305509   29.217253935   33.913261812   28.505732403
    2.590484140   29.541226921   34.152194883   28.520144137
    2.597662771   29.777726326   34.194663065   28.176841266
    2.604841402   29.813512147   33.866408974   27.864214405
    2.612020033   30.017879893   33.450810194   27.931180889
    2.619198664   30.475290138   33.364433974   28.368588608
    2.626377295   31.081018067   33.667563565   29.060148952
    2.633555927   31.647678297   33.626395511   29.782199385
    2.640734558   32.084002173   32.789505898   30.303871226
    2.647913189   32.409464772   32.023732914   30.317256637
    2.655091820   32.584564119   31.751769420   29.865069655
    2.662270451   32.703234349   32.048254586   29.546518038
    2.669449082   32.987603830   32.946963762   29.509805504
    2.676627713   33.598537981   33.898408008   29.636075847
    2.683806344   34.348255742   34.246946489   30.039245213
    2.690984975   34.983243891   34.207228048   30.733637224
    2.698163606   35.432198717   34.677572172   31.433344901
    2.705342237   35.528002752   35.685184101   32.064765337
