# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000   11.510229910   12.502247769   11.078678906
    0.207178631   11.512625461   12.504926170   11.080977035
    0.214357262   11.515106740   12.507700448   11.083357408
    0.221535893   11.517673880   12.510570752   11.085820152
    0.228714524   11.520327017   12.513537240   11.088365400
    0.235893155   11.523066293   12.516600072   11.090993287
    0.243071786   11.525891854   12.519759415   11.093703953
    0.250250417   11.528803852   12.523015440   11.096497545
    0.257429048   11.531802441   12.526368327   11.099374211
    0.264607679   11.534887784   12.529818256   11.102334107
    0.271786311   11.538060045   12.533365418   11.105377391
    0.278964942   11.541319394   12.537010006   11.108504226
    0.286143573   11.544666008   12.540752219   11.111714783
    0.293322204   11.548100065   12.544592263   11.115009233
    0.300500835   11.551621751   12.548530348   11.118387754
    0.307679466   11.555231255   12.552566691   11.121850529
    0.314858097   11.558928774   12.556701515   11.125397746
    0.322036728   11.562714506   12.560935046   11.129029596
    0.329215359   11.566588657   12.565267518   11.132746277
    0.336393990   11.570551437   12.569699172   11.136547991
    0.343572621   11.574603061   12.574230251   11.140434944
    0.350751252   11.578743749   12.578861007   11.144407349
    0.357929883   11.582973727   12.583591698   11.148465422
    0.365108514   11.587293225   12.588422585   11.152609385
    0.372287145   11.591702480   12.593353938   11.156839464
    0.379465776   11.596201733   12.598386032   11.161155892
    0.386644407   11.600791229   12.603519148   11.165558906
    0.393823038   11.605471222   12.608753572   11.170048747
    0.401001669   11.610241967   12.614089599   11.174625663
    0.408180301   11.615103729   12.619527526   11.179289907
    0.415358932   11.620056774   12.625067661   11.184041736
    0.422537563   11.625101377   12.630710314   11.188881413
    0.429716194   11.630237817   12.636455805   11.193809207
    0.436894825   11.635466378   12.642304458   11.198825392
    0.444073456   11.640787352   12.648256604   11.203930246
    0.451252087   11.646201033   12.654312580   11.209124055
    0.458430718   11.651707724   12.660472731   11.214407108
    0.465609349   11.657307732   12.666737408   11.219779701
    0.472787980   11.663001371   12.673106968   11.225242136
    0.479966611   11.668788960   12.679581775   11.230794719
    0.487145242   11.674670824   12.686162200   11.236437764
    0.494323873   11.680647295   12.692848620   11.242171588
    0.501502504   11.686718709   12.699641421   11.247996515
    0.508681135   11.692885409   12.706540994   11.253912876
    0.515859766   11.699147746   12.713547737   11.259921007
    0.523038397   11.705506075   12.720662056   11.266021249
    0.530217028   11.711960756   12.727884364   11.272213951
    0.537395659   11.718512160   12.735215081   11.278499465
    0.544574290   11.725160660   12.742654635   11.284878153
    0.551752922   11.731906636   12.750203459   11.291350381
    0.558931553   11.738750477   12.757861997   11.297916520
    0.566110184   11.745692576   12.765630697   11.304576951
    0.573288815   11.752733334   12.773510017   11.311332057
    0.580467446   11.759873158   12.781500422   11.318182231
    0.587646077   11.767112462   12.789602384   11.325127870
    0.594824708   11.774451667   12.797816384   11.332169379
    0.602003339   11.781891200   12.806142910   11.339307169
    0.609181970   11.789431495   12.814582458   11.346541659
    0.616360601   11.797072994   12.823135532   11.353873272
    0.623539232   11.804816146   12.831802645   11.361302439
    0.630717863   11.812661408   12.840584318   11.368829598
    0.637896494   11.820609243   12.849481080   11.376455198
    0.645075125   11.828660121   12.858493467   11.384179691
    0.652253756   11.836814519   12.867622027   11.392003534
    0.659432387   11.845072924   12.876867313   11.399927196
    0.666611018   11.853435825   12.886229888   11.407951149
    0.673789649   11.861903725   12.895710324   11.416075875
    0.680968280   11.870477133   12.905309203   11.424301864
    0.688146912   11.879156567   12.915027113   11.432629610
    0.695325543   11.887942552   12.924864653   11.441059618
    0.702504174   11.896835616   12.934822434   11.449592400
    0.709682805   11.905836301   12.944901074   11.458228476
    0.716861436   11.914945156   12.955101198   11.466968373
    0.724040067   11.924162736   12.965423442   11.475812622
    0.731218698   11.933489605   12.975868455   11.484761767
    0.738397329   11.942926339   12.986436892   11.493816365
    0.745575960   11.952473521   12.997129418   11.502976981
    0.752754591   11.962131743   13.007946711   11.512244181
    0.759933222   11.971901603   13.018889455   11.521618538
    0.767111853   11.981783710   13.029958347   11.531100638
    0.774290484   11.991778683   13.041154094   11.540691075
    0.781469115   12.001887148   13.052477413   11.550390451
    0.788647746   12.012109740   13.063929032   11.560199380
    0.795826377   12.022447107   13.075509691   11.570118481
    0.803005008   12.032899902   13.087220139   11.580148385
    0.810183639   12.043468791   13.099061137   11.590289732
    0.817362270   12.054154449   13.111033458   11.600543171
    0.824540902   12.064957560   13.123137885   11.610909359
    0.831719533   12.075878818   13.135375213   11.621388965
    0.838898164   12.086918929   13.147746249   11.631982667
    0.846076795   12.098078606   13.160251810   11.642691152
    0.853255426   12.109358576   13.172892728   11.653515118
    0.860434057   12.120759572   13.185669851   11.664455269
    0.867612688   12.132282342   13.198584031   11.675512325
    0.874791319   12.143927648   13.211636137   11.686687020
    0.881969950   12.155696257   13.224827049   11.697980094
    0.889148581   12.167588948   13.238157660   11.709392294
    0.896327212   12.179606512   13.251628873   11.720924380
    0.903505843   12.191749751   13.265241609   11.732577126
    0.910684474   12.204019480   13.278996808   11.744351313
    0.917863105   12.216416525   13.292895418   11.756247737
    0.925041736   12.228941724   13.306938397   11.768267204
    0.932220367   12.241595927   13.321126720   11.780410532
    0.939398998   12.254379996   13.335461376   11.792678551
    0.946577629   12.267294805   13.349943368   11.805072103
    0.953756260   12.280341244   13.364573716   11.817592041
    0.960934891   12.293520215   13.379353454   11.830239233
    0.968113523   12.306832630   13.394283630   11.843014557
    0.975292154   12.320279418   13.409365309   11.855918906
    0.982470785   12.333861520   13.424599571   11.868953186
    0.989649416   12.347579889   13.439987510   11.882118314
    0.996828047   12.361435493   13.455530240   11.895415221
    1.004006678   12.375429315   13.471228888   11.908844854
    1.011185309   12.389562348   13.487084600   11.922408170
    1.018363940   12.403835602   13.503098537   11.936106139
    1.025542571   12.418250106   13.519271878   11.949939745
    1.032721202   12.432806909   13.535605817   11.963909996
    1.039899833   12.447507063   13.552101567   11.978017915
    1.047078464   12.462351637   13.568760356   11.992264532
    1.054257095   12.477341716   13.585583438   12.006650889
    1.061435726   12.492478407   13.602572090   12.021178047
    1.068614357   12.507762833   13.619727603   12.035847084
    1.075792988   12.523196130   13.637051280   12.050659094
    1.082971619   12.538779449   13.654544443   12.065615186
    1.090150250   12.554513960   13.672208439   12.080716486
    1.097328881   12.570400850   13.690044635   12.095964136
    1.104507513   12.586441323   13.708054419   12.111359298
    1.111686144   12.602636601   13.726239195   12.126903146
    1.118864775   12.618987926   13.744600394   12.142596877
    1.126043406   12.635496559   13.763139469   12.158441704
    1.133222037   12.652163779   13.781857893   12.174438856
    1.140400668   12.668990889   13.800757161   12.190589584
    1.147579299   12.685979204   13.819838791   12.206895156
    1.154757930   12.703130059   13.839104322   12.223356857
    1.161936561   12.720444813   13.858555315   12.239975994
    1.169115192   12.737924842   13.878193361   12.256753893
    1.176293823   12.755571544   13.898020078   12.273691899
    1.183472454   12.773386340   13.918037103   12.290791376
    1.190651085   12.791370673   13.938246098   12.308053719
    1.197829716   12.809526008   13.958648751   12.325480337
    1.205008347   12.827853831   13.979246776   12.343072659
    1.212186978   12.846355649   14.000041914   12.360832136
    1.219365609   12.865032994   14.021035935   12.378760244
    1.226544240   12.883887422   14.042230636   12.396858479
    1.233722871   12.902920509   14.063627839   12.415128363
    1.240901503   12.922133863   14.085229400   12.433571440
    1.248080134   12.941529120   14.107037199   12.452189279
    1.255258765   12.961107930   14.129053150   12.470983472
    1.262437396   12.980871972   14.151279194   12.489955638
    1.269616027   13.000822953   14.173717305   12.509107419
    1.276794658   13.020962609   14.196369490   12.528440483
    1.283973289   13.041292702   14.219237785   12.547956530
    1.291151920   13.061815023   14.242324261   12.567657283
    1.298330551   13.082531387   14.265631020   12.587544492
    1.305509182   13.103443642   14.289160201   12.607619935
    1.312687813   13.124553662   14.312913979   12.627885418
    1.319866444   13.145863353   14.336894559   12.648342775
    1.327045075   13.167374657   14.361104186   12.668993874
