# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.200000000    6.991468688    7.672643881    6.740471432
    0.207178631    6.990040988    7.671031726    6.739099818
    0.214357262    6.988563711    7.669363601    6.737680577
    0.221535893    6.987036936    7.667639596    6.736213785
    0.228714524    6.985460745    7.665859805    6.734699519
    0.235893155    6.983835221    7.664024323    6.733137861
    0.243071786    6.982160452    7.662133249    6.731528894
    0.250250417    6.980436525    7.660186686    6.729872704
    0.257429048    6.978663533    7.658184738    6.728169378
    0.264607679    6.976841570    7.656127512    6.726419007
    0.271786311    6.974970732    7.654015119    6.724621685
    0.278964942    6.973051118    7.651847672    6.722777506
    0.286143573    6.971082829    7.649625288    6.720886568
    0.293322204    6.969065970    7.647348085    6.718948971
    0.300500835    6.967000647    7.645016185    6.716964818
    0.307679466    6.964886969    7.642629712    6.714934213
    0.314858097    6.962725046    7.640188794    6.712857264
    0.322036728    6.960514993    7.637693560    6.710734079
    0.329215359    6.958256925    7.635144144    6.708564770
    0.336393990    6.955950961    7.632540680    6.706349452
    0.343572621    6.953597221    7.629883306    6.704088240
    0.350751252    6.951195829    7.627172164    6.701781253
    0.357929883    6.948746909    7.624407397    6.699428611
    0.365108514    6.946250589    7.621589150    6.697030437
    0.372287145    6.943707000    7.618717572    6.694586857
    0.379465776    6.941116273    7.615792814    6.692097997
    0.386644407    6.938478542    7.612815030    6.689563987
    0.393823038    6.935793945    7.609784376    6.686984958
    0.401001669    6.933062619    7.606701011    6.684361044
    0.408180301    6.930284707    7.603565096    6.681692381
    0.415358932    6.927460351    7.600376795    6.678979106
    0.422537563    6.924589696    7.597136273    6.676221360
    0.429716194    6.921672890    7.593843700    6.673419283
    0.436894825    6.918710083    7.590499247    6.670573022
    0.444073456    6.915701426    7.587103086    6.667682720
    0.451252087    6.912647072    7.583655394    6.664748526
    0.458430718    6.909547178    7.580156348    6.661770591
    0.465609349    6.906401901    7.576606130    6.658749065
    0.472787980    6.903211402    7.573004921    6.655684104
    0.479966611    6.899975841    7.569352906    6.652575862
    0.487145242    6.896695383    7.565650274    6.649424497
    0.494323873    6.893370193    7.561897212    6.646230168
    0.501502504    6.890000439    7.558093913    6.642993038
    0.508681135    6.886586290    7.554240571    6.639713268
    0.515859766    6.883127918    7.550337380    6.636391025
    0.523038397    6.879625496    7.546384540    6.633026474
    0.530217028    6.876079199    7.542382250    6.629619785
    0.537395659    6.872489205    7.538330713    6.626171128
    0.544574290    6.868855690    7.534230132    6.622680674
    0.551752922    6.865178837    7.530080714    6.619148598
    0.558931553    6.861458828    7.525882667    6.615575074
    0.566110184    6.857695845    7.521636201    6.611960280
    0.573288815    6.853890076    7.517341528    6.608304395
    0.580467446    6.850041706    7.512998862    6.604607598
    0.587646077    6.846150926    7.508608419    6.600870072
    0.594824708    6.842217925    7.504170416    6.597092000
    0.602003339    6.838242896    7.499685074    6.593273567
    0.609181970    6.834226033    7.495152613    6.589414960
    0.616360601    6.830167531    7.490573257    6.585516366
    0.623539232    6.826067587    7.485947230    6.581577976
    0.630717863    6.821926398    7.481274759    6.577599979
    0.637896494    6.817744166    7.476556072    6.573582568
    0.645075125    6.813521092    7.471791399    6.569525938
    0.652253756    6.809257377    7.466980971    6.565430283
    0.659432387    6.804953227    7.462125022    6.561295800
